#name	chrom	strand	txStart	txEnd
NM_001129843	chr12	+	2162415	2807115
NM_001167623	chr12	+	2162415	2807115
NM_199460	chr12	+	2162450	2807115
NM_001167624	chr12	+	2162450	2807115
NM_001129830	chr12	+	2162450	2807115
NR_046578	chr12	-	2329702	2332647
NR_046769	chr12	+	2378941	2397911
NR_046579	chr12	-	2777665	2781386
NR_045725	chr12	-	2785166	2800323
NR_033958	chr12	-	2870365	2880835
NM_002014	chr12	+	2904107	2914587
NM_018463	chr12	+	2921786	2934237
NR_130744	chr12	+	2921787	2939770
NM_031474	chr12	-	2934513	2944221
NR_038933	chr12	+	2945981	2968961
NM_001243089	chr12	-	2966846	2986321
NM_001243088	chr12	-	2966846	2986321
NM_021953	chr12	-	2966846	2986321
NM_202003	chr12	-	2966846	2986321
NM_202002	chr12	-	2966846	2986321
NR_046433	chr12	+	2985423	2998691
NM_001252500	chr12	+	2986364	2998691
NR_027365	chr12	+	2986364	2998691
NR_046432	chr12	+	2986364	2998691
NM_001252499	chr12	+	2986364	2998691
NM_001257098	chr12	+	2986364	2998691
NM_001257097	chr12	+	2986364	2998691
NM_003324	chr12	+	3000032	3050306
NM_001160408	chr12	+	3000032	3050306
NM_003213	chr12	+	3068477	3149842
NM_201441	chr12	+	3068477	3149842
NM_201443	chr12	+	3068747	3149842
NM_001168320	chr12	+	3186520	3395730
NM_006675	chr12	+	3186520	3395730
NM_001256536	chr12	+	3490514	3703138
NR_126055	chr12	-	3592877	3601985
NM_019854	chr12	+	3600363	3703138
NM_001144958	chr12	-	3724493	3862366
NM_032680	chr12	-	3757108	3862366
NM_001286522	chr12	-	3918026	3982614
NM_001286521	chr12	-	3918026	3982614
NR_104461	chr12	-	3918026	3982614
NM_020367	chr12	-	3918026	3982614
NR_125790	chr12	-	4357932	4385350
NM_001759	chr12	+	4382901	4414522
NM_020375	chr12	+	4430358	4469190
NM_020638	chr12	-	4477392	4488894
NM_020996	chr12	-	4543307	4554780
NM_020374	chr12	-	4596895	4647674
NM_001304811	chr12	-	4596895	4647674
NR_144382	chr12	-	4596895	4647674
NM_001346153	chr12	-	4596895	4647674
NM_001346155	chr12	-	4596895	4647674
NM_001346156	chr12	-	4596895	4647674
NM_001346157	chr12	-	4596895	4647674
NR_144379	chr12	-	4596895	4647674
NR_144380	chr12	-	4596895	4647674
NR_144381	chr12	-	4596895	4647674
NM_001130862	chr12	+	4647949	4669213
NM_006479	chr12	+	4647949	4669213
NR_104115	chr12	+	4699237	4706339
NM_003845	chr12	+	4699237	4723054
NM_001282286	chr12	+	4714028	4723054
NM_001282285	chr12	+	4714028	4723054
NM_001278309	chr12	-	4724673	4758213
NM_006422	chr12	-	4724673	4758213
NM_005002	chr12	+	4758263	4796720
NR_110112	chr12	-	4809582	4829268
NM_017417	chr12	+	4829751	4881892
NM_002235	chr12	+	4918341	4960278
NM_000217	chr12	+	5019072	5027422
NM_002234	chr12	+	5153084	5155954
NR_120476	chr12	-	5343161	5352317
NR_120477	chr12	-	5347213	5352317
NM_001102654	chr12	+	5541279	5604465
NM_002527	chr12	+	5603297	5604465
NM_001278597	chr12	-	5671816	6055398
NM_001278596	chr12	-	5671816	6054425
NM_000552	chr12	-	6058039	6233841
NR_145989	chr12	-	6149202	6149349
NM_001330312	chr12	+	6308872	6347437
NM_001769	chr12	+	6309481	6347437
NM_018173	chr12	+	6419601	6437672
NM_001144856	chr12	+	6420098	6437672
NM_001144857	chr12	+	6421816	6437672
NM_001065	chr12	-	6437922	6451283
NR_144351	chr12	-	6437922	6451283
NM_001346091	chr12	-	6437922	6451283
NM_001346092	chr12	-	6437922	6451283
NM_001038	chr12	-	6456008	6484905
NM_001159575	chr12	-	6456008	6486523
NM_001159576	chr12	-	6456008	6484390
NM_001270987	chr12	+	6484533	6500737
NM_002342	chr12	+	6493198	6500737
NR_015382	chr12	-	6548166	6560683
NM_001242	chr12	+	6554050	6560884
NM_018009	chr12	+	6561176	6571488
NR_123717	chr12	-	6571403	6580065
NM_016830	chr12	-	6571403	6580065
NM_014231	chr12	-	6571403	6580065
NM_199245	chr12	-	6571403	6580065
NM_001297438	chr12	-	6571403	6580065
NM_016497	chr12	-	6601315	6602471
NM_014865	chr12	+	6603297	6641132
NR_004387	chr12	+	6619387	6619717
NM_002046	chr12	+	6643570	6647541
NM_001289745	chr12	+	6643570	6647541
NM_001289746	chr12	+	6643824	6647541
NM_001256799	chr12	+	6644384	6647541
NR_036467	chr12	-	6648693	6665249
NM_080730	chr12	-	6648693	6665249
NM_001193457	chr12	-	6648693	6665249
NM_001330325	chr12	-	6648693	6665249
NM_001330324	chr12	-	6648693	6665249
NM_001039670	chr12	-	6648693	6665249
NM_001258309	chr12	-	6666035	6677498
NM_001258310	chr12	-	6666035	6677498
NM_006170	chr12	-	6666035	6677498
NM_001258308	chr12	-	6666035	6677498
NM_001033714	chr12	-	6666035	6677498
NM_001297553	chr12	-	6679247	6715617
NM_001273	chr12	-	6679247	6716599
NR_003012	chr12	-	6690638	6690775
NM_001142961	chr12	-	6728000	6740815
NM_020400	chr12	-	6728000	6745297
NM_032489	chr12	-	6747241	6756580
NM_001127582	chr12	-	6759703	6772308
NM_001127583	chr12	-	6759703	6772308
NM_001127584	chr12	-	6759703	6772308
NM_001127585	chr12	-	6759703	6772308
NM_001127586	chr12	-	6759703	6772308
NM_016162	chr12	-	6759703	6772308
NM_133476	chr12	-	6775642	6798541
NM_001039920	chr12	-	6775642	6798738
NM_001135734	chr12	-	6775642	6798738
NM_153685	chr12	-	6802956	6810009
NM_001244015	chr12	-	6802956	6809596
NM_001244014	chr12	-	6802956	6810009
NM_001164094	chr12	+	6833149	6841041
NM_016319	chr12	+	6833149	6841041
NM_001164095	chr12	+	6833149	6841041
NM_001164093	chr12	+	6833448	6841041
NR_026581	chr12	-	6857157	6862636
NM_005439	chr12	-	6857157	6862082
NM_002824	chr12	+	6875482	6880118
NM_001330333	chr12	+	6875482	6880118
NM_002286	chr12	+	6881669	6887621
NM_000616	chr12	+	6898637	6929976
NM_001195017	chr12	+	6898637	6929976
NM_001195015	chr12	+	6898637	6929976
NM_001195014	chr12	+	6898637	6929976
NM_001195016	chr12	+	6898637	6929976
NM_014449	chr12	+	6930962	6936583
NM_019858	chr12	+	6930962	6936583
NM_014262	chr12	+	6937537	6949018
NM_001297571	chr12	+	6950017	6956559
NM_002075	chr12	+	6950017	6956559
NM_001297603	chr12	-	6955888	6961094
NM_001297602	chr12	-	6957971	6961094
NM_001297604	chr12	-	6957971	6961094
NR_123727	chr12	-	6957971	6961094
NM_031299	chr12	-	6957971	6961094
NR_138531	chr12	-	6957971	6961094
NM_001331019	chr12	-	6957971	6961094
NM_001098536	chr12	+	6961284	6975795
NM_003481	chr12	+	6961290	6975795
NM_001159287	chr12	+	6976583	6980110
NM_000365	chr12	+	6976692	6980110
NM_001258026	chr12	+	6977277	6980110
NM_001146316	chr12	-	6980099	6982449
NM_032641	chr12	-	6980099	6982521
NM_001319670	chr12	-	6980099	6982521
NR_135083	chr12	-	6984928	6998522
NR_002803	chr12	+	6993144	6993768
NR_033796	chr12	+	6993845	6994950
NM_001135217	chr12	+	7013896	7023406
NM_006992	chr12	+	7013896	7023406
NM_201650	chr12	+	7013896	7023406
NM_001975	chr12	+	7023613	7032859
NM_001007026	chr12	+	7033625	7051484
NM_001940	chr12	+	7037479	7051484
NM_001301836	chr12	+	7052600	7055166
NM_001301834	chr12	+	7052664	7055166
NM_001301837	chr12	+	7052979	7055166
NM_001301838	chr12	+	7052979	7055166
NM_138425	chr12	+	7052979	7055166
NR_126035	chr12	+	7052979	7055166
NM_080548	chr12	+	7055739	7070479
NM_080549	chr12	+	7060433	7070479
NM_002831	chr12	+	7060433	7070479
NR_135032	chr12	+	7072407	7073610
NR_029779	chr12	+	7072861	7072929
NR_029682	chr12	+	7073259	7073354
NM_001267700	chr12	-	7074514	7079916
NM_001144831	chr12	-	7074514	7079916
NR_003010	chr12	-	7076499	7076769
NM_006331	chr12	+	7079943	7085165
NR_135131	chr12	+	7079943	7105520
NM_001320049	chr12	+	7079943	7085165
NM_005768	chr12	-	7085346	7125842
NM_001346850	chr12	+	7167964	7178335
NM_201442	chr12	+	7167964	7178335
NM_001734	chr12	+	7167964	7178335
NM_001733	chr12	-	7187514	7245043
NM_001297640	chr12	-	7247145	7261874
NM_001297642	chr12	-	7247145	7261874
NM_016546	chr12	-	7247145	7261874
NM_001297643	chr12	-	7254201	7261874
NR_026947	chr12	+	7260903	7274447
NM_001329454	chr12	-	7276276	7282610
NM_031491	chr12	-	7276276	7281487
NM_014718	chr12	+	7282966	7311530
NM_001131026	chr12	+	7341758	7371169
NM_001131023	chr12	+	7342281	7364079
NM_001131024	chr12	+	7342281	7364079
NM_001131025	chr12	+	7342281	7364079
NM_001300789	chr12	+	7342440	7364079
NM_000319	chr12	+	7342957	7364079
NM_001080454	chr12	+	7456927	7480969
NM_174941	chr12	-	7507555	7596781
NM_001297650	chr12	-	7507555	7596781
NM_004244	chr12	-	7623411	7656414
NM_203416	chr12	-	7623411	7656414
NM_005889	chr12	-	7801995	7818499
NM_001304566	chr12	-	7801995	7823195
NM_001644	chr12	-	7801995	7818499
NM_020634	chr12	-	7842377	7848389
NM_199286	chr12	+	7864049	7870152
NM_203503	chr12	-	7882010	7902069
NM_130441	chr12	-	7882010	7902069
NM_001145465	chr12	+	7917811	7926717
NM_001297698	chr12	+	7941991	7948657
NM_024865	chr12	+	7941991	7948657
NM_001286233	chr12	-	7965107	8025635
NM_001286234	chr12	-	7965107	8025635
NM_001286235	chr12	-	7965107	8025635
NM_001286236	chr12	-	7965107	8025635
NM_153449	chr12	-	7965107	8025635
NM_001286237	chr12	-	7965107	8043792
NM_006931	chr12	-	8071823	8088892
NM_018416	chr12	+	8185358	8208118
NM_004054	chr12	-	8209439	8219067
NM_001326477	chr12	-	8209439	8219067
NM_001326475	chr12	-	8209439	8219067
NR_024260	chr12	+	8234806	8250373
NM_015509	chr12	+	8234806	8250373
NM_194448	chr12	+	8276227	8291203
NM_194447	chr12	+	8276227	8291203
NM_194450	chr12	+	8276227	8291203
NM_016184	chr12	+	8276227	8291203
NR_036440	chr12	-	8286364	8287448
NM_001004328	chr12	+	8325149	8332642
NR_026788	chr12	+	8332804	8353596
NM_018088	chr12	-	8373855	8380214
NM_001319982	chr12	-	8373855	8380214
NR_024254	chr12	-	8383644	8395542
NR_120455	chr12	+	8388010	8391553
NR_120454	chr12	+	8388010	8395160
NR_024420	chr12	-	8509559	8543348
NM_001317999	chr12	+	8608590	8630926
NM_001007033	chr12	+	8608590	8630926
NM_080387	chr12	+	8666135	8674960
NM_014358	chr12	-	8685900	8693558
NM_001330343	chr12	-	8754761	8765463
NM_020661	chr12	-	8754761	8765463
NR_123734	chr12	-	8798538	8815484
NR_123733	chr12	-	8798538	8815484
NM_001297712	chr12	-	8798538	8815484
NM_001297711	chr12	-	8798538	8815484
NM_003480	chr12	-	8798538	8815484
NM_001297710	chr12	-	8798538	8815484
NM_001297709	chr12	-	8798538	8815484
NR_123740	chr12	+	8834272	8935694
NM_001297776	chr12	+	8850495	8929787
NM_020734	chr12	+	8852380	8929787
NM_144670	chr12	+	8975067	9029377
NM_001282424	chr12	+	8997599	9029377
NM_004426	chr12	+	9067315	9094060
NM_002355	chr12	-	9092956	9102357
NM_001207024	chr12	-	9092956	9102357
NM_001329101	chr12	+	9102639	9163340
NM_001329103	chr12	+	9102639	9163340
NM_001329102	chr12	+	9102639	9163340
NR_137427	chr12	+	9102639	9163340
NR_137426	chr12	+	9102639	9163340
NM_001329099	chr12	+	9142220	9163340
NM_005810	chr12	+	9142220	9163340
NR_137428	chr12	+	9142220	9163340
NR_034140	chr12	-	9208184	9217666
NR_026971	chr12	+	9217772	9220651
NR_137424	chr12	+	9217772	9220651
NR_137425	chr12	+	9217772	9220651
NM_000014	chr12	-	9220303	9268825
NM_001347423	chr12	-	9220303	9268825
NM_001347424	chr12	-	9220303	9268825
NM_001347425	chr12	-	9220303	9268825
NM_002864	chr12	-	9301435	9360966
NR_040112	chr12	-	9381128	9386803
NR_128710	chr12	-	9392065	9392147
NR_036262	chr12	-	9392065	9392147
NR_036263	chr12	-	9392065	9392147
NR_036052	chr12	-	9392065	9392147
NR_036466	chr12	+	9392598	9395645
NR_137435	chr12	+	9392598	9395645
NR_137436	chr12	+	9392598	9395645
NR_137429	chr12	+	9392598	9415473
NR_137430	chr12	+	9392598	9415473
NR_137431	chr12	+	9392598	9415473
NR_137432	chr12	+	9392598	9415473
NR_137433	chr12	+	9392598	9415473
NR_137434	chr12	+	9392598	9415473
NR_024374	chr12	+	9436252	9466684
NR_120479	chr12	+	9520059	9550213
NR_120481	chr12	-	9524377	9534018
NR_144634	chr12	-	9549652	9560010
NR_033399	chr12	-	9570286	9600768
NM_002258	chr12	-	9747869	9760497
NR_046450	chr12	+	9769879	9811010
NR_046448	chr12	+	9786014	9811010
NR_046449	chr12	+	9795463	9811010
NR_046451	chr12	+	9800514	9811010
NR_002814	chr12	+	9800642	9811010
NR_046444	chr12	+	9800642	9811010
NR_046445	chr12	+	9800642	9811010
NR_046446	chr12	+	9800642	9811010
NR_046447	chr12	+	9800642	9811010
NM_001197319	chr12	+	9822303	9852151
NM_001197318	chr12	+	9822303	9852151
NM_001197317	chr12	+	9822303	9852151
NM_013269	chr12	+	9822303	9852151
NR_036693	chr12	+	9822303	9852151
NM_001004419	chr12	+	9822303	9852151
NM_001267701	chr12	-	9868455	9885895
NM_001253750	chr12	-	9868455	9885895
NM_172004	chr12	-	9875087	9885895
NM_001781	chr12	-	9905081	9913497
NM_001291823	chr12	+	9980076	9997603
NM_001291822	chr12	+	9980076	9997603
NM_016523	chr12	+	9980076	9997603
NR_120305	chr12	+	9980076	9997603
NM_005127	chr12	-	10004967	10022458
NM_001190765	chr12	+	10034087	10048432
NM_207375	chr12	-	10051271	10084980
NM_001130711	chr12	-	10065825	10084980
NR_104634	chr12	-	10089177	10096094
NR_135047	chr12	-	10100735	10105936
NM_001207010	chr12	+	10103914	10138194
NM_201623	chr12	+	10124007	10138194
NM_001300730	chr12	+	10124007	10136841
NM_138337	chr12	+	10124007	10138194
NM_016509	chr12	-	10145661	10151899
NM_001099431	chr12	-	10145661	10151899
NM_001319242	chr12	+	10163225	10170548
NM_205852	chr12	+	10163225	10170548
NM_001129998	chr12	+	10163225	10171399
NM_001319241	chr12	+	10163225	10171399
NR_135049	chr12	+	10163225	10171399
NR_120484	chr12	-	10167950	10183205
NM_207345	chr12	+	10183275	10218629
NM_001297748	chr12	-	10222152	10251664
NM_016511	chr12	-	10222152	10251664
NM_001297751	chr12	-	10222152	10251664
NM_001297750	chr12	-	10222152	10251664
NM_001297749	chr12	-	10222152	10251664
NM_022570	chr12	-	10269375	10282868
NR_125336	chr12	-	10269375	10282868
NM_197949	chr12	-	10269375	10282868
NM_197950	chr12	-	10269375	10282868
NM_197948	chr12	-	10269375	10282868
NM_197947	chr12	-	10269375	10282868
NM_197954	chr12	-	10279921	10282868
NM_001172633	chr12	-	10310898	10324790
NM_001172632	chr12	-	10310898	10324790
NM_002543	chr12	-	10310898	10324790
NM_001079815	chr12	+	10323197	10344403
NM_153022	chr12	+	10331556	10344403
NM_031412	chr12	+	10365488	10375724
NM_001114396	chr12	+	10457049	10469850
NM_007334	chr12	+	10460416	10469850
NM_002262	chr12	+	10460416	10469850
NR_120430	chr12	+	10516367	10551105
NM_001199805	chr12	-	10524951	10562745
NM_007360	chr12	-	10524951	10542653
NM_013431	chr12	-	10559982	10562356
NM_002261	chr12	-	10564913	10573194
NM_007333	chr12	-	10568182	10573194
NM_002260	chr12	-	10583205	10588592
NM_001304448	chr12	-	10594862	10607284
NM_002259	chr12	-	10598637	10605979
NM_007328	chr12	-	10598637	10605979
NM_213657	chr12	-	10598637	10607215
NM_213658	chr12	-	10598637	10607215
NR_028045	chr12	-	10741076	10752434
NM_001300739	chr12	-	10756788	10765577
NM_018048	chr12	-	10756788	10766208
NR_135120	chr12	-	10756788	10766208
NR_135121	chr12	-	10756788	10766208
NM_001319985	chr12	-	10756788	10766208
NM_018423	chr12	-	10771537	10826891
NM_003651	chr12	-	10851675	10875953
NM_001145426	chr12	-	10851675	10875953
NR_120463	chr12	+	10902832	10930050
NM_023919	chr12	-	10954130	10955226
NM_023918	chr12	-	10958649	10959579
NM_023917	chr12	-	10961692	10962767
NM_023921	chr12	-	10977944	10978868
NM_007244	chr12	-	10998447	11002075
NM_001098538	chr12	-	10998447	11002075
NR_037918	chr12	-	10998447	11324224
NM_001291315	chr12	-	11033559	11324222
NM_001291314	chr12	-	11033559	11324222
NM_023920	chr12	-	11060524	11062161
NM_001110213	chr12	+	11081834	11087444
NM_001316893	chr12	-	11090004	11324222
NM_023922	chr12	-	11090852	11091806
NR_133575	chr12	-	11116402	11324222
NM_176890	chr12	-	11138511	11139511
NM_176889	chr12	-	11148560	11150903
NM_176888	chr12	-	11174217	11175219
NM_176885	chr12	-	11182985	11184006
NM_176887	chr12	-	11213963	11214893
NM_176884	chr12	-	11243885	11244912
NM_001097643	chr12	-	11285883	11286843
NM_001271592	chr12	+	11323779	11328619
NM_181429	chr12	-	11338598	11339543
NM_006249	chr12	-	11418846	11422641
NM_001261399	chr12	-	11460014	11463369
NM_002723	chr12	-	11460014	11463369
NM_005039	chr12	-	11504756	11508524
NM_199353	chr12	-	11504756	11508524
NM_199354	chr12	-	11504756	11508524
NM_006248	chr12	-	11544473	11548498
NR_033890	chr12	+	11700963	11717335
NM_001987	chr12	+	11802787	12048325
NM_138723	chr12	+	12223877	12252627
NM_138722	chr12	+	12224401	12252627
NM_030766	chr12	+	12224401	12252627
NR_128710	chr12	+	12264885	12264967
NR_036262	chr12	+	12264885	12264967
NR_036263	chr12	+	12264885	12264967
NR_036052	chr12	+	12264885	12264967
NM_002336	chr12	-	12268960	12419811
NM_018050	chr12	-	12482217	12503169
NR_024061	chr12	-	12508341	12510001
NM_058169	chr12	+	12510012	12624155
NM_001300742	chr12	+	12510012	12624155
NM_001330356	chr12	+	12510012	12624155
NM_030640	chr12	-	12626215	12715448
NM_001310	chr12	+	12764766	12798042
NM_006143	chr12	-	12813994	12849121
NM_004064	chr12	+	12870203	12875316
NM_001130415	chr12	+	12878850	12944399
NR_030344	chr12	+	12917582	12917677
NM_030817	chr12	+	12938540	12944399
NM_016355	chr12	+	12966279	12982915
NM_201224	chr12	+	12966279	12982915
NR_003932	chr12	+	13028410	13029070
NM_003979	chr12	+	13043955	13066601
NR_030345	chr12	+	13068762	13068852
NM_018654	chr12	-	13093708	13103318
NM_015987	chr12	-	13127798	13153243
NR_038920	chr12	+	13132770	13137576
NR_002774	chr12	+	13153375	13157764
NM_020853	chr12	+	13197314	13236383
NR_106988	chr12	+	13199124	13199174
NM_001206843	chr12	-	13236470	13248740
NM_001206845	chr12	-	13236470	13248740
NM_031289	chr12	-	13236470	13248740
NM_153823	chr12	-	13236470	13248740
NM_001080554	chr12	-	13236470	13256630
NM_001080555	chr12	-	13236470	13256630
NM_001206842	chr12	-	13236470	13256630
NM_001423	chr12	+	13349601	13369708
NR_036555	chr12	-	13523604	13529679
NM_000834	chr12	-	13714409	14133022
NM_001286515	chr12	+	14518565	14635024
NM_001286514	chr12	+	14518565	14655869
NM_018179	chr12	+	14518565	14655869
NM_181352	chr12	+	14537997	14655869
NM_024829	chr12	-	14656596	14720791
NR_120465	chr12	+	14720665	14772689
NM_004963	chr12	-	14765565	14849519
NM_175054	chr12	-	14923653	14924065
NM_177925	chr12	+	14927269	14930936
NR_027716	chr12	+	14927269	14930936
NM_016312	chr12	-	14939411	14956401
NM_175874	chr12	+	14956505	14976791
NM_001013698	chr12	-	14957583	14967116
NM_021071	chr12	-	14982244	14996413
NM_001190839	chr12	-	15033797	15038996
NM_000900	chr12	-	15033797	15038996
NM_001300784	chr12	-	15066960	15082059
NM_152321	chr12	-	15066960	15091483
NM_001321420	chr12	-	15094948	15114704
NR_135637	chr12	-	15094948	15101830
NM_001175	chr12	-	15094948	15114704
NM_001321421	chr12	-	15094948	15114200
NM_001321423	chr12	-	15094948	15104040
NM_001321422	chr12	-	15094948	15104085
NM_006205	chr12	+	15125955	15134799
NR_120466	chr12	+	15154766	15159617
NM_032918	chr12	-	15260715	15374411
NM_001190726	chr12	-	15260715	15374411
NR_046559	chr12	+	15304856	15308215
NM_002848	chr12	+	15475190	15751265
NM_030667	chr12	+	15475190	15751265
NM_030669	chr12	+	15699277	15751265
NM_030670	chr12	+	15699277	15751265
NM_030671	chr12	+	15699277	15751265
NM_030668	chr12	+	15699277	15751265
NM_004447	chr12	-	15773074	15942510
NM_007178	chr12	+	16035287	16056410
NM_001300779	chr12	+	16064105	16190315
NM_015954	chr12	+	16064105	16190315
NM_001170798	chr12	-	16341418	16430619
NM_145792	chr12	+	16500075	16517344
NM_001267598	chr12	+	16500576	16530123
NM_020300	chr12	+	16500576	16517344
NR_048545	chr12	+	16500576	16517344
NM_001260512	chr12	+	16500576	16517344
NM_001260511	chr12	+	16500576	16517344
NM_145791	chr12	+	16500711	16517344
NR_048547	chr12	+	16500711	16517344
NM_145764	chr12	+	16506350	16517344
NM_001243611	chr12	-	16701305	16758313
NM_001243612	chr12	-	16701305	16758904
NM_018640	chr12	-	16701305	16759536
NM_001243610	chr12	-	16701305	16759734
NM_001243613	chr12	-	16701305	16760084
NM_001001395	chr12	-	16701305	16761148
NM_001243609	chr12	-	16701305	16761148
NR_045012	chr12	-	16701305	16761148
NR_045013	chr12	-	16701305	16761148
NR_045014	chr12	-	16701305	16761148
NR_036619	chr12	+	17141680	17143562
NR_039770	chr12	+	17826232	17826328
NR_104413	chr12	-	18233802	18243127
NM_024730	chr12	-	18233802	18243127
NM_001286201	chr12	-	18233802	18243127
NM_001288772	chr12	+	18414473	18801352
NM_001288774	chr12	+	18414473	18801352
NM_004570	chr12	+	18414473	18801352
NM_033123	chr12	-	18836109	18890993
NM_001330774	chr12	-	18836113	18890993
NM_001330769	chr12	-	18836113	18890443
NM_033328	chr12	+	18891044	18892122
NM_001190860	chr12	+	19282625	19354937
NM_019012	chr12	+	19282625	19529333
NM_001256470	chr12	+	19282625	19529333
NM_001143821	chr12	+	19282625	19526602
NM_001256787	chr12	+	19358258	19529333
NM_153207	chr12	+	19592607	19675173
NM_001114176	chr12	+	19592607	19675173
NM_001267043	chr12	+	19593514	19675173
NR_040098	chr12	+	20167618	20251802
NM_000921	chr12	+	20522178	20837041
NM_001244683	chr12	+	20724797	20837041
NM_001145946	chr12	+	20848288	20906320
NM_001145945	chr12	+	20848288	20906320
NM_017435	chr12	+	20848398	20906320
NM_001145944	chr12	+	20848398	20906320
NM_019844	chr12	+	20963637	21069843
NM_001009562	chr12	+	21168629	21243040
NM_006446	chr12	+	21284127	21392730
NM_134431	chr12	-	21417533	21548371
NM_021094	chr12	-	21417533	21487832
NM_001329201	chr12	+	21507893	21532914
NM_000415	chr12	+	21525801	21532914
NM_024854	chr12	+	21590537	21624182
NM_002907	chr12	-	21621843	21654603
NM_032941	chr12	-	21621843	21654603
NM_016072	chr12	+	21654698	21671337
NM_030572	chr12	+	21679190	21685881
NR_135187	chr12	+	21680368	21685881
NR_135188	chr12	+	21680858	21685881
NM_021957	chr12	-	21689122	21757781
NM_001315537	chr12	-	21788275	21810789
NM_002300	chr12	-	21788275	21810789
NM_001174097	chr12	-	21788275	21810728
NM_004982	chr12	-	21917888	21927755
NM_020297	chr12	-	21950323	22089628
NM_005691	chr12	-	21958107	22089628
NM_018686	chr12	+	22199107	22218606
NR_135117	chr12	+	22199107	22218606
NM_003034	chr12	-	22346324	22487648
NM_001304450	chr12	-	22346324	22487648
NM_001286177	chr12	-	22601479	22697480
NM_014802	chr12	-	22601479	22697480
NM_001286175	chr12	-	22601479	22697480
NM_001286174	chr12	-	22601479	22697480
NM_001286173	chr12	-	22601479	22697480
NM_001286176	chr12	-	22601479	22697480
NR_135030	chr12	-	22741940	22777980
NR_135031	chr12	-	22762500	22777980
NM_001039481	chr12	+	22778075	22797349
NM_018638	chr12	+	22778075	22843608
NR_120471	chr12	+	23328569	23344521
NM_152989	chr12	-	23682437	24715524
NM_001261414	chr12	-	23682437	24715524
NM_001330785	chr12	-	23682437	24102637
NM_178010	chr12	-	23682437	23737546
NM_006940	chr12	-	23682437	24102637
NM_001261415	chr12	-	23682437	24103966
NR_030625	chr12	+	24365354	24365429
NR_120473	chr12	+	24376204	24380442
NR_120472	chr12	+	24376204	24390899
NR_029451	chr12	-	24719897	24737102
NM_001178094	chr12	-	24962957	25055322
NM_001178093	chr12	-	24962957	25056009
NM_001178091	chr12	-	24962957	25102393
NM_001178092	chr12	-	24962957	25102393
NM_005504	chr12	-	24962957	25102393
NM_001101339	chr12	-	25146364	25150373
